uzemanyagszint;uzemanyagtartaly;loero;fogyasztas
0.8794828799487441;52;370;11.763614373212611
0.42445537445680614;65;208;10.046058874096268
0.3224164088260484;80;302;11.090609214919947
0.5756841367869012;64;324;4.357139400501985
0.2925878916235388;77;253;4.990823203516557
0.04389880680688829;52;130;11.713120645368216
0.4370922741521228;84;287;12.141027566683817
0.09512785314922623;77;142;6.014162333066077
0.7594352271851057;63;214;11.208267273212089
0.8880458236582185;52;165;6.2663132410731865
0.3688035061095377;74;414;13.660349268194038
0.31362135764178056;46;274;4.646293788498187
0.7502169499304023;79;324;10.47424760679402
0.13773542399062022;58;194;12.425398223745562
0.41794810714291486;50;393;4.384005756922031
0.472008418298382;67;418;10.475807809125868
0.3342598525075482;46;361;8.491364328080888
0.4404471618754985;64;126;12.794039262475394
0.6204744926864283;61;402;10.58782799605106
0.102144626754617;71;290;12.110086574193401
0.20870088199004766;59;178;10.216390007522302
0.4765412114052445;52;397;8.947365168613924
0.9744582999487873;73;113;6.63661700695566
0.4992408039077101;60;319;5.2130341817322945
0.3654680240429985;76;429;13.93100544956436
0.754491799070841;84;242;4.935985375171774
0.4383308908881739;70;276;10.825152685955857
0.7193173044101615;76;364;13.279005143923357
0.727727715196734;74;304;4.331504943007141
0.3367125935645511;75;406;12.858604434808317
0.6556821173067664;71;312;9.784742678007667
0.970376574489183;45;144;7.6514658873197625
0.9150220544913069;45;321;5.462688044111516
0.6993703415032798;46;126;9.677003483382748
0.8275247809364329;83;190;10.702750388415986
0.18674353929241327;45;221;8.658637743797339
0.839948106829098;59;380;9.493513108008226
0.5537619657527205;55;191;6.848215132397115
0.3896552806029382;79;284;11.731254742471023
0.9023448963048409;81;165;12.273963208429894
0.006520912586204131;62;238;4.34363095100424
0.18115997779088677;53;372;7.257050899176889
0.14228360246534255;80;115;6.041964029809874
0.41036980015374225;85;229;10.527008720892265
0.10231024916282327;66;126;12.125578953542323
0.32052857003849533;69;336;13.501104243783859
0.5293872373988819;82;301;4.308709147568738
0.253762242959209;72;237;8.435814368427422
0.4050152460931865;77;374;13.456146758722046
0.710986281334041;52;378;7.931194014560509
0.6953526902289014;48;399;7.434872288279962
0.8305007253435591;85;114;11.56150516600805
